XRF Depth,SiO2,CaO,MgO,Al2O3,Fe2O3,K2O,AF10,AF20,AF30,AF60,AF90,AO10,AO20,AO30,AO60,AO90,AT10,AT20,AT30,AT60,AT90,AFCO60,AORT,AORX,BFV,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CDF,CFTC,CMFF,CMFF_SIG,CMR_PHI_CO,CMRP_3MS,CNTC,CTEM,DCAL,DNPH,DPHZ,DPH8,DSOZ,DWAL_WALK2,DWCA_WALK2,DWFE_WALK2,DWGD_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,ECGR,ECST,ESUF_WALK2,GDEV,GR,GR_EDTC,GTEM,HCAL,HDRA,HDRB,HGR,HMIN,HMNO,HNPO,HPRA,HTNP,KSDR,KTIM,NPHI,NPOR,PEF8,PEFZ,PXND_HILT,QCPMT,RHGE_WALK2,RHO8,RHOZ,RSOZ,RXO8,RXOZ,SP,SPAR,STIT,T2LM,T2LM_SIG,TCMR,TENS,TNPH,WCAR_WALK2,WCLA_WALK2,WPYR_WALK2,WQFM_WALK2,DTCO,DTSM
10396,70.96740074,4.816487109,1.221900191,13.86576339,5.282914198,3.845534373,4.3699,4.813,4.7731,4.7559,4.8,4.2111,4.3362,4.2053,5.098,5.0717,4.3923,4.8306,4.6153,4.7297,4.761,210.2632,4.7734,3.3502,0.173,0.0341,0.036,0.0648,0.0542,0.0061,0.0001,0.0012,0.0005,2014.579,893.7474,0.024,0.0044,0.0008,0.1269,2431.1719,183.3412,1.5418,-0.022,0.1078,0.0466,0.1394,0.0826,0.043,0.0435,0,0.2752,0.0357,0.0055,89.8232,61.2084,0.7596,2.4573,80.0587,78.5647,182.2964,10.2918,-0.0242,0.1225,76.2696,7.3289,6.4858,0.2852,-0.8935,0.2485,0.1278,0.3219,0.2627,0.2694,8.3686,8.421,0.2023,0.6794,2.7725,2.6302,2.5257,0.0001,9.2493,9.3127,-206.6696,-206.7528,4.0739,4.5511,-999.25,0.197,5065,0.2486,0.0406,0.4198,0.0669,0.4727,80.3011,152.9656
10397,64.57623723,9.51584345,1.925771344,14.18125611,5.876725038,3.924166824,4.2169,4.4413,4.3236,4.259,4.1595,4.3559,4.2153,4.768,5.2312,5.1809,4.4097,4.6132,4.2159,4.1872,4.1747,234.7971,4.0296,3.6102,0.233,0.0412,0.0481,0.0889,0.0792,0.0089,0.0039,0.0001,0,1913.5873,824.3626,0.0372,0.0046,0.0008,0.181,2290.4314,183.3412,1.538,-0.0219,0.1614,0.0911,0.0181,0.0853,0.0342,0.046,3.3451,0.2799,0.0303,0.0054,94.7313,61.2084,0.7547,2.3418,84.447,81.242,182.2964,10.288,-0.0825,-0.0326,79.864,2.7134,3.0421,0.2427,-0.9908,0.2598,0.5581,1.3684,0.2587,0.2509,7.7234,7.9842,0.227,0.1905,2.7693,2.5543,2.4339,0.0439,6.3564,6.9855,-206.7643,-206.8101,3.2613,4.9856,-999.25,0.2702,4968.8335,0.2596,0.017,0.4374,0.0567,0.4889,91.9007,167.9024
10398,68.23441472,6.317957471,1.546280171,14.3170026,5.323802494,4.260542539,3.9787,4.3465,4.261,4.149,3.9861,3.834,4.1646,3.3137,2.9679,2.9523,4.0937,4.1962,3.9437,3.8422,3.6841,241.0214,3.4647,3.5571,0.2598,0.0359,0.0519,0.1046,0.0949,0.0051,0.0022,0.0019,0,1815.7925,814.7789,0.0367,0.0047,0.0008,0.2087,2268.5754,183.3412,1.9947,-0.0253,0.1013,0.1926,0.0577,0.0686,0.0632,0.038,8.9302,0.2739,0.0191,0.0031,94.9817,61.2084,0.6766,0,83.0875,87.7994,182.2964,10.7447,-0.0347,0.1472,80.6217,10.1963,9.0334,0.2773,-0.2284,0.2575,0.9016,1.542,0.2596,0.265,7.0371,5.4502,0.204,0,2.7464,2.3807,2.5367,0.0001,12.9,9.8734,-206.8732,-206.8561,2.1564,5.3993,-999.25,0.2965,4874.8003,0.2573,0.095,0.3448,0.0358,0.5244,91.7058,160.3276
10399,68.27403855,4.782134396,1.054684452,15.89846057,5.210076759,4.780605277,4.3117,4.5811,4.5318,4.4153,4.2773,5.7481,4.8621,4.7623,3.9581,3.9274,4.2216,5.675,5.1048,4.9258,4.572,226.4839,3.5371,3.582,0.2831,0.0187,0.0374,0.1321,0.1356,0.0077,0,0.0008,0.0004,1713.7234,745.7905,0.0495,0.0047,0.0008,0.2766,2166.9211,183.3412,1.0681,-0.0178,0.0561,0.0288,0.0311,0.0647,0.0584,0.036,7.4896,0.2861,0.0147,0.0038,92.3561,63.5495,0.7067,2.1811,83.9994,91.1497,182.2964,9.8181,-0.0033,0.1087,84.6166,10.1564,8.9979,0.2931,0.0037,0.2866,2.9882,3.9872,0.2859,0.2853,3.427,3.7584,0.198,0,2.7366,2.6608,2.6141,0.0001,12.8491,12.8529,-206.9564,-206.8557,1.0782,7.3312,-999.25,0.3326,4781.8335,0.2866,0.0822,0.3253,0.0275,0.565,91.7077,159.5128
10400,68.22316331,3.657752528,1.41958978,16.80324131,4.733992469,5.162260601,4.9207,5.0715,5.0853,5.0242,4.7329,6.533,3.2845,4.7785,4.6856,4.7002,5.0701,4.8524,5.3945,5.2994,4.6597,199.0362,3.7908,4.4132,0.3772,0.0005,0.0296,0.2015,0.2001,0.0059,0,0,0.0005,1616.2314,687.3047,0.0608,0.0047,0.0008,0.4079,2091.9788,183.3412,1.0643,-0.0173,0.0602,0.0607,0,0.0675,0.0333,0.0371,3.2669,0.3111,0.0149,0.0053,90.5441,63.5495,0.6304,2.126,82.3651,90.5323,182.2964,9.8143,0,0.0065,76.2576,9.9496,8.814,0.3182,-0.0174,0.3125,12.1756,9.7251,0.3319,0.3219,3.4764,3.5011,0.2083,0.2403,2.7345,2.6063,2.6071,0.0001,12.5855,12.6278,-207.079,-206.8431,0,9.0569,-999.25,0.438,4630.167,0.3122,0.0145,0.3392,0.0279,0.6183,91.7102,160.0247
10401,75.30244039,3.353662503,1.355335705,12.10095213,4.571017862,3.316591417,6.2555,6.1479,6.4171,6.1823,6.3239,4.2783,3.8084,3.2683,3.0844,3.0612,5.5294,4.6694,5.1253,5.0282,4.6626,161.7525,4.098,6.559,0.2965,0.0018,0.039,0.1569,0.1329,0.0036,0,0.0018,0.0008,1553.9741,898.1599,0.0402,0.0045,0.0008,0.296,2402.7388,183.3412,1.0519,-0.0181,0.0623,0.0636,0,0.0573,0.0478,0.0319,5.779,0.3115,0.0104,0.0042,99.5357,63.5495,0.5147,3.1004,90.593,92.7421,182.2964,9.8019,-0.0005,-0.0078,92.9045,9.7109,8.6018,0.2988,-0.0024,0.2455,3.7922,2.6532,0.2575,0.2858,3.5615,3.5177,0.1842,0.3085,2.7222,2.6013,2.6034,0.0001,12.2814,12.3307,-207.1383,-206.802,0,8.0212,-999.25,0.3368,4564,0.2451,0.0537,0.2879,0.0194,0.639,91.6993,159.5871
10402,76.89745997,1.350384551,1.562587945,12.44267605,4.228913773,3.51797771,7.7802,9.8208,10.4615,10.2714,10.0104,11.7894,15.0615,14.2662,12.2488,11.8447,8.8323,17.7596,20.5742,17.4099,11.9034,97.3578,7.5362,13.4786,0.1362,0.0155,0.0361,0.0589,0.0327,0.002,0.0061,0.0001,0,1683.1097,1297.5457,0.0152,0.0047,0.0008,0.0998,2834.3772,183.3412,1.0412,-0.0176,0.0588,0.0522,0.0177,0.0501,0.0444,0.0267,6.6417,0.3292,0.0172,0.0038,101.3918,63.5495,0.5017,2.6844,92.3257,91.8881,182.2964,9.7912,0.0028,0.0138,88.0036,10.203,9.0393,0.14,-0.0317,0.1652,0.0641,0.0661,0.1909,0.1466,3.4096,3.4216,0.1417,0.1007,2.72,2.6207,2.6094,0.0001,12.9085,12.8503,-206.5257,-206.7554,0,4.942,-999.25,0.1513,4726,0.1653,0.0445,0.2517,0.0322,0.6716,91.6868,160.5935
10403,78.06476402,8.68273436,0.8941711044,7.147862723,3.445430144,1.765037645,10.1622,11.6911,12.5064,13.4035,12.1717,11.2137,7.1578,7.9956,6.983,6.821,10.771,11.8956,12.4453,15.1192,10.2685,74.6073,7.0334,11.6676,0.0661,0.0226,0.0186,0.0175,0.0109,0.006,0.0027,0.0004,0.0002,1617.8596,1434.234,0.0128,0.004,0.0008,0.0377,3219.3518,183.3412,0.9333,-0.0169,0.0691,0.0752,0.0201,0.0486,0.0397,0.0245,4.1439,0.3386,0.0265,0.0038,107.8996,63.5495,0.5465,2.721,98.7158,96.4686,182.2964,9.6833,0.0043,0.0187,100.5961,10.7999,9.5702,0.1713,0.0348,0.1734,0.0019,0.0146,0.1851,0.183,3.2055,3.3076,0.1494,0.166,2.7261,2.5813,2.5918,0.0001,13.6694,12.7718,-206.3566,-206.6918,0,3.452,-999.25,0.0789,4607.2002,0.1734,0.0318,0.2441,0.0497,0.6744,91.6728,160.4564
10404,23.85300849,71.5756818,0,2.58254834,1.46947753,0.5192838342,11.119,13.1783,14.7425,16.5458,14.0302,13.1214,13.6726,15.1059,9.6129,9.3812,10.6405,12.5169,12.978,14.7502,12.2764,60.4384,8.8529,11.3009,0.0397,0.0232,0.0105,0.0022,0.0082,0.0077,0.0025,0.0006,0.0005,1592.9753,1631.4089,0.0155,0.0042,0.0008,0.0216,3450.2419,183.3412,0.9225,-0.0165,0.0761,0.0771,0.0021,0.0492,0.1156,0.0253,3.5528,0.2485,0.0262,0.0031,98.3841,63.5495,0.5124,2.8346,90.0529,95.2099,182.2964,9.6725,0.0001,-0.0042,94.2998,21.0987,18.7395,0.1499,0.0264,0.1542,0.0004,0.0147,0.1631,0.1485,3.2549,3.5401,0.1387,0,2.7401,2.5782,2.5799,0.0001,26.8126,24.2414,-206.3915,-206.6263,0,3.4528,-999.25,0.0552,4632,0.154,0.2359,0.2474,0.049,0.4676,80.7895,160.4501
10405,52.20852067,22.862435,4.707397047,9.979687314,7.871995837,2.369964135,12.2502,15.9172,17.6292,20.5445,18.2919,13.6381,16.5491,18.7239,14.902,14.4342,13.7678,20.6569,26.2857,29.1259,23.6134,48.6748,13.6284,10.4252,0.0271,0.0137,0.0059,0.0043,0.0067,0.0085,0.0004,0,0.0012,1584.0776,1868.4325,0.0137,0.0042,0.0008,0.0211,3741.9463,183.3412,0.7793,-0.0151,0.0349,0.0394,0.0269,0.0555,0.1535,0.0296,5.3121,0.1925,0.0222,0.0032,75.8779,65.8906,0.4776,2.5655,69.8932,75.21,182.2964,9.5293,0.0004,0.0112,68.5421,176.203,161.2967,0.1453,0.0765,0.1384,0.0003,0.0063,0.1478,0.1427,5.1444,4.4101,0.1188,0.2155,2.7498,2.6427,2.6502,0.0143,2317.4827,71.1628,-206.1875,-206.608,0,5.2548,-999.25,0.0408,4598.8335,0.1386,0.3379,0.279,0.0416,0.3415,76.496,125.2964
